temperature,humidity,Time,Temperature,Humidity,HeatIndex
,,2026-02-23 21:49:30.836424,22.5,67.0,22.55
,,2026-02-23 21:49:31.933597,22.5,67.0,22.55
,,2026-02-23 21:49:34.040921,22.5,67.0,22.55
,,2026-02-23 21:49:36.107258,22.5,67.0,22.55
,,2026-02-23 21:49:38.174888,22.5,67.0,22.55
,,2026-02-23 21:49:40.239874,22.5,67.0,22.55
,,2026-02-23 21:49:42.304916,22.5,67.0,22.55
,,2026-02-23 21:49:44.371111,22.5,67.0,22.55
,,2026-02-23 21:49:46.436807,22.5,67.0,22.55
,,2026-02-23 21:49:48.505559,22.5,67.0,22.55
,,2026-02-23 21:49:50.561844,22.5,67.0,22.55
,,2026-02-23 21:49:52.630289,22.5,67.0,22.55
,,2026-02-23 21:49:54.698494,22.5,67.0,22.55
,,2026-02-23 21:49:56.763350,22.5,67.0,22.55
,,2026-02-23 21:49:58.828534,22.5,67.0,22.55
,,2026-02-23 21:50:00.894215,22.5,67.0,22.55
,,2026-02-23 21:50:02.963282,22.5,67.0,22.55
,,2026-02-23 21:50:05.036308,22.5,67.0,22.55
,,2026-02-23 21:50:07.105605,22.5,67.0,22.55
,,2026-02-23 21:50:09.175368,22.5,67.0,22.55
,,2026-02-23 21:50:11.256246,22.5,67.0,22.55
,,2026-02-23 21:50:13.333926,22.5,67.0,22.55
,,2026-02-23 21:50:15.410664,22.5,67.0,22.55
,,2026-02-23 21:50:17.467564,22.5,67.0,22.55
,,2026-02-23 21:50:19.552372,22.5,67.0,22.55
,,2026-02-23 21:50:21.621521,22.5,67.0,22.55
,,2026-02-23 21:50:23.712239,22.5,67.0,22.55
,,2026-02-23 21:50:25.778713,22.5,67.0,22.55
,,2026-02-23 21:50:27.849613,22.5,67.0,22.55
,,2026-02-23 21:50:29.919724,22.5,67.0,22.55
,,2026-02-23 21:50:31.989167,22.5,67.0,22.55
,,2026-02-23 21:50:34.046831,22.5,67.0,22.55
,,2026-02-23 21:50:35.118314,22.5,67.0,22.55
,,2026-02-23 21:50:37.261675,22.5,67.0,22.55
,,2026-02-23 21:50:39.271461,22.5,67.0,22.55
,,2026-02-23 21:50:41.287231,22.5,67.0,22.55
,,2026-02-23 21:50:43.307071,22.5,67.0,22.55
,,2026-02-23 21:50:45.334261,22.5,67.0,22.55
,,2026-02-23 21:50:47.344057,22.5,67.0,22.55
,,2026-02-23 21:50:50.361159,22.5,67.0,22.55
,,2026-02-23 21:50:52.368385,22.5,67.0,22.55
,,2026-02-23 21:50:54.386714,22.5,67.0,22.55
,,2026-02-23 21:50:56.406181,22.5,67.0,22.55
,,2026-02-23 21:50:58.424975,22.5,67.0,22.55
,,2026-02-23 21:51:00.442758,22.5,67.0,22.55
,,2026-02-23 21:51:14.618654,22.5,67.0,22.55
,,2026-02-23 21:51:17.204311,22.4,67.0,22.44
,,2026-02-23 21:51:18.410431,22.4,67.0,22.44
,,2026-02-23 21:51:20.620765,22.4,67.0,22.44
,,2026-02-23 21:51:22.864904,22.4,67.0,22.44
